Date,Account,Category,INR,Income/Expense,Amount,Currency,Account,Method,Mode
01/13/22,CUB - online payment,Transportation,43,Expense,43,INR,43,CUB , online payment
01/12/22,CUB - online payment,Other,479,Expense,479,INR,479,CUB , online payment
01/12/22,CUB - online payment,Food,301.75,Expense,301.75,INR,301.75,CUB , online payment
01/12/22,CUB - online payment,Other,200,Income,200,INR,200,CUB , online payment
01/11/22,CUB - online payment,Food,135.5,Expense,135.5,INR,135.5,CUB , online payment
01/10/22,CUB - online payment,Food,106,Expense,106,INR,106,CUB , online payment
01/08/22,CUB - online payment,Other,260,Income,260,INR,260,CUB , online payment
01/08/22,CUB - online payment,Food,535.3,Expense,535.3,INR,535.3,CUB , online payment
01/08/22,CUB - online payment,Household,4580,Expense,4580,INR,4580,CUB , online payment
01/07/22,CUB - online payment,Food,15,Expense,15,INR,15,CUB , online payment
01/06/22,CUB - online payment,Other,440,Income,440,INR,440,CUB , online payment
01/06/22,CUB - online payment,Food,20,Expense,20,INR,20,CUB , online payment
01/06/22,CUB - online payment,Food,877.81,Expense,877.81,INR,877.81,CUB , online payment
01/06/22,CUB - online payment,Food,10,Expense,10,INR,10,CUB , online payment
01/06/22,CUB - online payment,Transportation,42,Expense,42,INR,42,CUB , online payment
01/05/22,CUB - online payment,Food,211,Expense,211,INR,211,CUB , online payment
01/05/22,CUB - online payment,Other,40,Expense,40,INR,40,CUB , online payment
01/05/22,CUB - online payment,Other,30,Expense,30,INR,30,CUB , online payment
01/05/22,CUB - online payment,Food,354,Expense,354,INR,354,CUB , online payment
01/05/22,CUB - online payment,Other,500,Expense,500,INR,500,CUB , online payment
01/05/22,CUB - online payment,Other,500,Expense,500,INR,500,CUB , online payment
01/05/22,CUB - online payment,Transportation,60,Expense,60,INR,60,CUB , online payment
01/05/22,CUB - online payment,Food,388,Expense,388,INR,388,CUB , online payment
01/04/22,CUB - online payment,Education,1400,Expense,1400,INR,1400,CUB , online payment
01/04/22,CUB - online payment,Salary,8000,Income,8000,INR,8000,CUB , online payment
01/04/22,CUB - online payment,Food,106,Expense,106,INR,106,CUB , online payment
01/04/22,CUB - online payment,Other,80,Expense,80,INR,80,CUB , online payment
01/04/22,CUB - online payment,Food,107,Expense,107,INR,107,CUB , online payment
01/03/22,CUB - online payment,Food,10,Expense,10,INR,10,CUB , online payment
01/03/22,CUB - online payment,Other,201,Income,201,INR,201,CUB , online payment
01/03/22,CUB - online payment,Other,5,Income,5,INR,5,CUB , online payment
01/03/22,CUB - online payment,Other,140,Income,140,INR,140,CUB , online payment
01/03/22,CUB - online payment,Food,300,Expense,300,INR,300,CUB , online payment
01/03/22,CUB - online payment,Other,300,Income,300,INR,300,CUB , online payment
01/02/22,CUB - online payment,Other,8,Expense,8,INR,8,CUB , online payment
01/02/22,CUB - online payment,Food,200,Expense,200,INR,200,CUB , online payment
01/02/22,CUB - online payment,Transportation,725,Expense,725,INR,725,CUB , online payment
01/01/22,CUB - online payment,Food,85,Expense,85,INR,85,CUB , online payment
01/01/22,CUB - online payment,Allowance,1000,Income,1000,INR,1000,CUB , online payment
12/30/21,CUB - online payment,Food,20,Expense,20,INR,20,CUB , online payment
12/30/21,CUB - online payment,Transportation,43,Expense,43,INR,43,CUB , online payment
12/30/21,CUB - online payment,Other,30,Income,30,INR,30,CUB , online payment
12/30/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/30/21,CUB - online payment,Transportation,199,Expense,199,INR,199,CUB , online payment
12/30/21,CUB - online payment,Other,250,Income,250,INR,250,CUB , online payment
12/30/21,CUB - online payment,Food,20,Expense,20,INR,20,CUB , online payment
12/30/21,CUB - online payment,Other,20,Income,20,INR,20,CUB , online payment
12/30/21,CUB - online payment,Transportation,286,Expense,286,INR,286,CUB , online payment
12/30/21,CUB - online payment,Other,250,Income,250,INR,250,CUB , online payment
12/28/21,CUB - online payment,Food,14,Expense,14,INR,14,CUB , online payment
12/27/21,CUB - online payment,Food,115,Expense,115,INR,115,CUB , online payment
12/27/21,CUB - online payment,Other,80,Income,80,INR,80,CUB , online payment
12/27/21,CUB - online payment,Other,40,Income,40,INR,40,CUB , online payment
12/27/21,CUB - online payment,Food,50,Expense,50,INR,50,CUB , online payment
12/25/21,CUB - online payment,Food,504,Expense,504,INR,504,CUB , online payment
12/25/21,CUB - online payment,Transportation,306,Expense,306,INR,306,CUB , online payment
12/25/21,CUB - online payment,Self-development,400,Expense,400,INR,400,CUB , online payment
12/25/21,CUB - online payment,Food,30,Expense,30,INR,30,CUB , online payment
12/25/21,CUB - online payment,Food,30,Expense,30,INR,30,CUB , online payment
12/25/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
12/24/21,CUB - online payment,Social Life,150,Expense,150,INR,150,CUB , online payment
12/24/21,CUB - online payment,Food,262,Expense,262,INR,262,CUB , online payment
12/23/21,CUB - online payment,Food,15,Expense,15,INR,15,CUB , online payment
12/23/21,CUB - online payment,Food,32,Expense,32,INR,32,CUB , online payment
12/21/21,CUB - online payment,Food,239,Expense,239,INR,239,CUB , online payment
12/21/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/21/21,CUB - online payment,Food,18,Expense,18,INR,18,CUB , online payment
12/20/21,CUB - online payment,Food,80,Expense,80,INR,80,CUB , online payment
12/20/21,CUB - online payment,Transportation,80,Expense,80,INR,80,CUB , online payment
12/20/21,CUB - online payment,Food,20,Expense,20,INR,20,CUB , online payment
12/20/21,CUB - online payment,Food,20,Expense,20,INR,20,CUB , online payment
12/20/21,CUB - online payment,Food,85,Expense,85,INR,85,CUB , online payment
12/20/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
12/19/21,CUB - online payment,Other,100,Expense,100,INR,100,CUB , online payment
12/18/21,CUB - online payment,Other,100,Expense,100,INR,100,CUB , online payment
12/18/21,CUB - online payment,Other,200,Expense,200,INR,200,CUB , online payment
12/18/21,CUB - online payment,Food,113,Expense,113,INR,113,CUB , online payment
12/18/21,CUB - online payment,Allowance,1000,Income,1000,INR,1000,CUB , online payment
12/18/21,CUB - online payment,Other,400,Income,400,INR,400,CUB , online payment
12/18/21,CUB - online payment,Social Life,363.72,Expense,363.72,INR,363.72,CUB , online payment
12/18/21,CUB - online payment,Food,160,Expense,160,INR,160,CUB , online payment
12/17/21,CUB - online payment,Food,70,Expense,70,INR,70,CUB , online payment
12/17/21,CUB - online payment,Food,110,Expense,110,INR,110,CUB , online payment
12/17/21,CUB - online payment,Other,50,Expense,50,INR,50,CUB , online payment
12/16/21,CUB - online payment,Food,30,Expense,30,INR,30,CUB , online payment
12/16/21,CUB - online payment,Food,20,Expense,20,INR,20,CUB , online payment
12/16/21,CUB - online payment,Food,30,Expense,30,INR,30,CUB , online payment
12/16/21,CUB - online payment,Food,110,Expense,110,INR,110,CUB , online payment
12/14/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
12/14/21,CUB - online payment,Food,75,Expense,75,INR,75,CUB , online payment
12/14/21,CUB - online payment,Food,80,Expense,80,INR,80,CUB , online payment
12/14/21,CUB - online payment,Food,74,Expense,74,INR,74,CUB , online payment
12/14/21,CUB - online payment,Food,65,Expense,65,INR,65,CUB , online payment
12/12/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/11/21,CUB - online payment,Allowance,1000,Income,1000,INR,1000,CUB , online payment
12/11/21,CUB - online payment,Other,240,Income,240,INR,240,CUB , online payment
12/10/21,CUB - online payment,Food,241,Expense,241,INR,241,CUB , online payment
12/10/21,CUB - online payment,Food,195,Expense,195,INR,195,CUB , online payment
12/09/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
12/09/21,CUB - online payment,Food,280,Expense,280,INR,280,CUB , online payment
12/09/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/09/21,CUB - online payment,Food,110,Expense,110,INR,110,CUB , online payment
12/08/21,CUB - online payment,Food,100,Expense,100,INR,100,CUB , online payment
12/08/21,Cash,Food,1120.72,Expense,15,USD,15,Cash,
12/08/21,CUB - online payment,Food,10,Expense,10,INR,10,CUB , online payment
12/07/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/07/21,CUB - online payment,Food,15,Expense,15,INR,15,CUB , online payment
12/06/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/06/21,CUB - online payment,Apparel,500,Expense,500,INR,500,CUB , online payment
12/06/21,CUB - online payment,Apparel,140,Expense,140,INR,140,CUB , online payment
12/06/21,CUB - online payment,Food,150,Expense,150,INR,150,CUB , online payment
12/05/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/05/21,CUB - online payment,Apparel,1800,Expense,1800,INR,1800,CUB , online payment
12/05/21,CUB - online payment,Household,4800,Expense,4800,INR,4800,CUB , online payment
12/05/21,CUB - online payment,Allowance,8000,Income,8000,INR,8000,CUB , online payment
12/04/21,CUB - online payment,Food,324,Expense,324,INR,324,CUB , online payment
12/04/21,CUB - online payment,Food,65,Expense,65,INR,65,CUB , online payment
12/04/21,CUB - online payment,Other,30,Expense,30,INR,30,CUB , online payment
12/04/21,CUB - online payment,Food,200,Expense,200,INR,200,CUB , online payment
12/03/21,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
12/03/21,CUB - online payment,Apparel,130,Expense,130,INR,130,CUB , online payment
12/03/21,CUB - online payment,Apparel,20,Expense,20,INR,20,CUB , online payment
12/03/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
12/03/21,CUB - online payment,Allowance,1000,Income,1000,INR,1000,CUB , online payment
12/02/21,CUB - online payment,Food,504,Expense,504,INR,504,CUB , online payment
12/02/21,CUB - online payment,Food,75,Expense,75,INR,75,CUB , online payment
12/01/21,CUB - online payment,Beauty,196,Expense,196,INR,196,CUB , online payment
12/01/21,CUB - online payment,Food,160,Expense,160,INR,160,CUB , online payment
11/30/21,CUB - online payment,Gift,115,Expense,115,INR,115,CUB , online payment
11/30/21,CUB - online payment,Food,128,Expense,128,INR,128,CUB , online payment
11/30/21,CUB - online payment,Food,70,Expense,70,INR,70,CUB , online payment
11/29/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
11/29/21,CUB - online payment,Food,50,Expense,50,INR,50,CUB , online payment
11/29/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
11/29/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
11/28/21,CUB - online payment,Food,94,Expense,94,INR,94,CUB , online payment
11/28/21,CUB - online payment,Food,269.4,Expense,269.4,INR,269.4,CUB , online payment
11/27/21,CUB - online payment,Food,120,Expense,120,INR,120,CUB , online payment
11/27/21,CUB - online payment,Food,130,Expense,130,INR,130,CUB , online payment
11/27/21,CUB - online payment,Transportation,35,Expense,35,INR,35,CUB , online payment
11/27/21,CUB - online payment,Food,75,Expense,75,INR,75,CUB , online payment
11/27/21,CUB - online payment,Allowance,2000,Income,2000,INR,2000,CUB , online payment
11/27/21,CUB - online payment,Food,30,Expense,30,INR,30,CUB , online payment
11/26/21,CUB - online payment,Food,150,Expense,150,INR,150,CUB , online payment
11/26/21,CUB - online payment,Food,102,Expense,102,INR,102,CUB , online payment
11/26/21,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
11/26/21,CUB - online payment,Petty cash,3,Income,3,INR,3,CUB , online payment
11/26/21,CUB - online payment,Food,150,Expense,150,INR,150,CUB , online payment
11/26/21,CUB - online payment,Food,60,Expense,60,INR,60,CUB , online payment
11/25/21,CUB - online payment,Food,145,Expense,145,INR,145,CUB , online payment
11/25/21,CUB - online payment,Transportation,58,Expense,58,INR,58,CUB , online payment
11/25/21,CUB - online payment,Food,95,Expense,95,INR,95,CUB , online payment
11/24/21,CUB - online payment,Food,15,Expense,15,INR,15,CUB , online payment
11/24/21,CUB - online payment,Food,70,Expense,70,INR,70,CUB , online payment
11/24/21,CUB - online payment,Food,20,Expense,20,INR,20,CUB , online payment
11/24/21,CUB - online payment,Transportation,58,Expense,58,INR,58,CUB , online payment
11/23/21,CUB - online payment,Transportation,50,Expense,50,INR,50,CUB , online payment
11/23/21,CUB - online payment,Food,179,Expense,179,INR,179,CUB , online payment
11/22/21,CUB - online payment,Food,90,Expense,90,INR,90,CUB , online payment
11/22/21,CUB - online payment,Food,97,Expense,97,INR,97,CUB , online payment
11/21/21,CUB - online payment,Transportation,130,Expense,130,INR,130,CUB , online payment
11/21/21,CUB - online payment,Food,875,Expense,875,INR,875,CUB , online payment
11/21/21,CUB - online payment,Other,2000,Income,2000,INR,2000,CUB , online payment
